"frequency","CURRENT_concept","NEW_concept","CURRENT_metaOntology","NEW_metaOntology","CURRENT_metaType","NEW_metaType"
"1","involves",,"task",,,
"3","watch",,"UNKNOWN",,,
"2","yesterday",,"UNKNOWN",,,
"3","canvas",,"UNKNOWN",,,
"1","advises",,"task",,,
"1","label",,"UNKNOWN",,,
"1","sluggish",,"UNKNOWN",,,
"1","criticism",,"unknown",,,
"9","country",,"unknown",,,
"1","mabigat",,"unknown",,,
"1","ilalim",,"UNKNOWN",,,
"46","leak",,"UNKNOWN",,,
"2","leav",,"UNKNOWN",,,
"2","readies",,"UNKNOWN",,,
"51","areas",,"unknown",,,
"1","make",,"UNKNOWN",,,
"1","roll-off",,"UNKNOWN",,,
"3","span",,"unknown",,,
"3","update",,"unknown",,,
"1","cumulative",,"UNKNOWN",,,
"23","justice",,"UNKNOWN",,,
"1","displac",,"UNKNOWN",,,
"1","coasts",,"unknown",,,
"5","identifi",,"agent",,,
"1","scientists",,"UNKNOWN",,,
"1","matanggal",,"unknown",,,
"1","harbor_bulk_terminal_corp",,"organization",,,
"5","dilg",,"UNKNOWN",,,
"2","complaints",,"unknown",,,
"3","business",,"unknown",,,
"4","depots",,"unknown",,,
"2","completely",,"unknown",,,
"17","declar",,"unknown",,,
"1","22-year-old",,"unknown",,,
"1","lament",,"unknown",,,
"120","fuel",,"unknown",,,
"1","graduat",,"UNKNOWN",,,
"1","locus",,"UNKNOWN",,,
