"concept","frequency","relative_frequency-across_texts","relative_percentage-across_texts","tf-idf","Action","Evaluation","Node Type","Potency","gram_type","meta","number_of_texts"
"inabandona","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"sea_brothers","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","ngram","agent","1"
"firm","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","UNKNOWN","3"
"lieutenant","7","0.013592233009708738","5.047955577990914E-4","0.0011723310046896644"," "," ",""," ","single","UNKNOWN","5"
"receiv","9","0.017475728155339806","6.490228600274032E-4","0.0012889045469835663"," "," ",""," ","single","UNKNOWN","7"
"translat","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"boat","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4","  0.19","  0.7","","  0.84","single","unknown","2"
"sank","82","0.15922330097087378","0.005913319391360784","0.0011481065251430379","-0.02  ","  1.19","","  -0.15","single","UNKNOWN","42"
"yards","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"bakit","3","0.005825242718446602","2.1634095334246772E-4","7.006587839109498E-4"," "," ",""," ","single","unknown","2"
"inland","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"insufficient","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"history","8","0.015533980582524271","5.769092089132473E-4","0.0012346238774046418","  1.05","  -2.59","","  0.76","single","unknown","6"
"anak","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"araw","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"provincial","16","0.031067961165048542","0.0011538184178264946","0.0016694817716147116"," "," ",""," ","single","UNKNOWN","12"
"supplementary_fund_protocol","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","ngram","agent","1"
"encount","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","unknown","2"
"postpon","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4","1.705","0.56","","1.695","single","UNKNOWN","1"
"fuels","3","0.005825242718446602","2.1634095334246772E-4","7.006587839109498E-4"," "," ",""," ","single","unknown","2"
"talaga","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"engag","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","single","unknown","3"
"vendors","11","0.021359223300970873","7.932501622557151E-4","0.0014694039807809467"," "," ",""," ","single","UNKNOWN","8"
"bound","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","task","1"
"ocd","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"naramdaman","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"warrant","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"body","4","0.007766990291262136","2.8845460445662364E-4","7.342702160826237E-4","  1.62","  2.6","","  1.76","single","unknown","4"
"breed","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"namamakyaw","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","unknown","1"
"stall","2","0.003883495145631068","1.4422730222831182E-4","5.670766038399547E-4"," "," ",""," ","single","UNKNOWN","1"
"sasabihin","2","0.003883495145631068","1.4422730222831182E-4","4.671058559406332E-4"," "," ",""," ","single","UNKNOWN","2"
"come_to","3","0.005825242718446602","2.1634095334246772E-4","6.129400758757228E-4"," "," ",""," ","ngram","UNKNOWN","3"
"argu","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"circl","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","single","UNKNOWN","1"
"incorpor","9","0.017475728155339806","6.490228600274032E-4","0.0012889045469835663"," "," ",""," ","single","UNKNOWN","7"
"make_it","1","0.001941747572815534","7.211365111415591E-5","2.8353830191997736E-4"," "," ",""," ","ngram","UNKNOWN","1"
